"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"TP4056_BREAKOUT";1;"TP4056_BREAKOUT";;;
2;"G***,G***";"invaders";2;"LOGO";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
4;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
5;"U1";"DIP-28_W7.62mm_Socket_LongPads";1;"ATmega328-PU";;;
6;"SW1,SW2,SW3,SW4,SW5,SW6";"SW_PUSH_6mm_h4.3mm";6;"SW_Push";;;
7;"ISP";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"AVR-ISP-6";;;
8;"R1";"R_0603_HandSoldering";1;"10k";;;
9;"C1,C4";"C_0603_HandSoldering";2;"100nF";;;
10;"J2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Conn_01x06_Male";;;
11;"C2,C3";"C_0603_HandSoldering";2;"22pF";;;
12;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"16 MHz";;;
13;"Q1,Q2";"SOT-23_Handsoldering";2;"MMBT3904";;;
14;"LCD1";"Oled96";1;"Oled96";;;
15;"R2,R3";"R_0603_HandSoldering";2;"4k7";;;
16;"C5,C6";"C_0603_HandSoldering";2;"10uF";;;
17;"D1";"LED_0603_HandSoldering";1;"LED";;;
18;"R4,R9,R10,R11";"R_0603_HandSoldering";4;"1k";;;
19;"D2,D3";"D_MiniMELF_Handsoldering";2;"D_Zener";;;
20;"R5";"R_0603_HandSoldering";1;"1k5";;;
21;"R6";"R_0603_HandSoldering";1;"1M";;;
22;"R7,R8";"R_0603_HandSoldering";2;"68R";;;
23;"D4";"D_MiniMELF_Handsoldering";1;"1N4148";;;
24;"J3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02_Male";;;
25;"U2";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
26;"BT1";"CR2032_HOLDER";1;"Battery_Cell";;;
27;"SW7";"SW_HH_SS12D07-G4-2";1;"SW_SPDT";;;
28;"REF**";"MountingHole_15x3mm";1;"MountingHole_3mm_oval";;;
29;"D5";"LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm";1;"LD271";;;
30;"J5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Conn_01x04_Male";;;
31;"J6";"Pin_Header_Straight_1x07_Pitch2.54mm";1;"Conn_01x07_Male";;;
32;"JP1";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";1;"SolderJumper_2_Open";;;
33;"J4";"USB_Micro-B-LCSC-C10418-and-C40946-C319167";1;"USB_B_Micro";;;
34;"G***";"logo-franzininho12_7";1;"LOGO";;;
35;"G***";"bandeiraBrasil";1;"LOGO";;;
36;"REF***";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
37;"G***";"invaders2";1;"LOGO";;;
